"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"spe1","ykl184w","ORF","96757-98157","+","XI","ykl184w",-13.1864953632703
"ubx4",0,0,1,"ubx4","ymr067c","ORF","404323-405573","-","XIII","ymr067c",-13.1960578676591
NA,NA,NA,NA,"bud14","yar014c","ORF","166742-168871","-","I","yar014c",-13.2471845486708
NA,NA,NA,NA,"aos1","ypr180w","ORF","895961-897004","+","XVI","ypr180w",-13.3212305501634
NA,NA,NA,NA,"smd1","ygr074w","ORF","635712-636152","+","VII","ygr074w",-13.3620648243221
NA,NA,NA,NA,"ydl163w","ydl163w","ORF","166956-167258","+","IV","ydl163w",-13.3967645872301
"mre11",0,0,1,"mre11","ymr224c","ORF","718575-720653","-","XIII","ymr224c",-13.5950527605167
"ubr2",0,1,0,"ubr2","ylr024c","ORF","187663-193281","-","XII","ylr024c",-13.596876837933
NA,NA,NA,NA,"spo11","yhl022c","ORF","62961-64157","-","VIII","yhl022c",-13.6301592182189
NA,NA,NA,NA,"ack1","ydl203c","ORF","96082-97953","-","IV","ydl203c",-13.6552928560853
NA,NA,NA,NA,"ylr349w","ylr349w","ORF","827521-828027","+","XII","ylr349w",-13.7389197813127
"ydr089w",0,0,1,"ydr089w","ydr089w","ORF","622112-624721","+","IV","ydr089w",-13.7576276958246
NA,NA,NA,NA,"acf4","yjr083c","ORF","582608-583537","-","X","yjr083c",-13.762313396216
NA,NA,NA,NA,"rdh54","ybr073w","ORF","383112-385988","+","II","ybr073w",-13.7833002698463
NA,NA,NA,NA,"slo1","yer180c-a","ORF","550865-551122","-","V","yer180c-a",-13.7981292450566
NA,NA,NA,NA,"pbn1","ycl052c","ORF","34143-35393","-","III","ycl052c",-13.8013806169021
NA,NA,NA,NA,"pol3","ydl102w","ORF","276872-280165","+","IV","ydl102w",-13.8449964168442
NA,NA,NA,NA,"anb1","yjr047c","ORF","524908-525381","-","X","yjr047c",-13.9621514897496
NA,NA,NA,NA,"msh1","yhr120w","ORF","349574-352453","+","VIII","yhr120w",-13.9785554019877
NA,NA,NA,NA,"ydl032w","ydl032w","ORF","393690-394001","+","IV","ydl032w",-13.9905845900044
NA,NA,NA,NA,"ymr321c","ymr321c","ORF","917579-917896","-","XIII","ymr321c",-14.0745838953678
NA,NA,NA,NA,"kic1","yhr102w","ORF","316572-319814","+","VIII","yhr102w",-14.1429886241928
NA,NA,NA,NA,"srp1","ynl189w","ORF","284260-285888","+","XIV","ynl189w",-14.1452793172879
NA,NA,NA,NA,"ubr1","ygr184c","ORF","859901-865753","-","VII","ygr184c",-14.1669368877781
NA,NA,NA,NA,"thi72","yor192c","ORF","698768-700567","-","XV","yor192c",-14.1805322640316
NA,NA,NA,NA,"yer152w-a","yer152w-a","ORF","473485-474051","+","V","yer152w-a",-14.1861035345481
NA,NA,NA,NA,"yml045w-a","yml045w-a","transposable_element_gene","184461-185783","+","XIII","yml045w-a",-14.2686184399546
NA,NA,NA,NA,"ybr013c","ybr013c","ORF","265492-265881","-","II","ybr013c",-14.2816633294481
NA,NA,NA,NA,"gtr2","ygr163w","ORF","827552-828577","+","VII","ygr163w",-14.3082226863711
NA,NA,NA,NA,"mnn5","yjl186w","ORF","80155-81915","+","X","yjl186w",-14.3104156587944
NA,NA,NA,NA,"lcd1","ydr499w","ORF","1447830-1450073","+","IV","ydr499w",-14.375572756274
NA,NA,NA,NA,"yor238w","yor238w","ORF","783677-784588","+","XV","yor238w",-14.4950923117851
NA,NA,NA,NA,"mtc6","yhr151c","ORF","399268-400848","-","VIII","yhr151c",-14.5133739896178
NA,NA,NA,NA,"ste3","ykl178c","ORF","113215-114627","-","XI","ykl178c",-14.5327322395446
NA,NA,NA,NA,"mvd1","ynr043w","ORF","701895-703085","+","XIV","ynr043w",-14.5362524212918
NA,NA,NA,NA,"rad24","yer173w","ORF","536300-538279","+","V","yer173w",-14.5576849556459
NA,NA,NA,NA,"mme1","ymr166c","ORF","593367-594473","-","XIII","ymr166c",-14.6278573466648
NA,NA,NA,NA,"hal9","yol089c","ORF","150398-153490","-","XV","yol089c",-14.63731471303
NA,NA,NA,NA,"thi22","ypr121w","ORF","778583-780301","+","XVI","ypr121w",-14.6519398548731
NA,NA,NA,NA,"crd1","ydl142c","ORF","201719-202570","-","IV","ydl142c",-14.6912213429174
NA,NA,NA,NA,"mif2","ykl089w","ORF","273394-275043","+","XI","ykl089w",-14.9089775437564
NA,NA,NA,NA,"fsh3","yor280c","ORF","844992-845792","-","XV","yor280c",-14.9203277927326
NA,NA,NA,NA,"hos2","ygl194c","ORF","140368-141726","-","VII","ygl194c",-14.9802784535473
NA,NA,NA,NA,"spc24","ymr117c","ORF","501250-501891","-","XIII","ymr117c",-15.0727604044048
NA,NA,NA,NA,"yhr182w","yhr182w","ORF","468219-470576","+","VIII","yhr182w",-15.1002555785216
NA,NA,NA,NA,"elo1","yjl196c","ORF","67850-68782","-","X","yjl196c",-15.1188682540802
"bir1",1,0,0,"bir1","yjr089w","ORF","587718-590582","+","X","yjr089w",-15.1419334073844
NA,NA,NA,NA,"pif1","yml061c","ORF","148953-151532","-","XIII","yml061c",-15.2583554800391
NA,NA,NA,NA,"plp2","yor281c","ORF","846269-847129","-","XV","yor281c",-15.315539065542
NA,NA,NA,NA,"nha1","ylr138w","ORF","418437-421394","+","XII","ylr138w",-15.3560395922965
NA,NA,NA,NA,"ylr281c","ylr281c","ORF","704493-704960","-","XII","ylr281c",-15.3790025846442
NA,NA,NA,NA,"fap1","ynl023c","ORF","588263-591160","-","XIV","ynl023c",-15.4602602379333
NA,NA,NA,NA,"gle2","yer107c","ORF","373448-374545","-","V","yer107c",-15.5193681366188
NA,NA,NA,NA,"ylr149c-a","ylr149c-a","ORF","440370-440456","-","XII","ylr149c-a",-15.5394755147297
NA,NA,NA,NA,"tpo5","ykl174c","ORF","120380-122236","-","XI","ykl174c",-15.5419139370848
NA,NA,NA,NA,"mrpl10","ynl284c","ORF","103134-104102","-","XIV","ynl284c",-15.5578852980641
NA,NA,NA,NA,"ydr476c","ydr476c","ORF","1410453-1411127","-","IV","ydr476c",-15.6224184546012
NA,NA,NA,NA,"ipl1","ypl209c","ORF","156490-157593","-","XVI","ypl209c",-15.6281082101908
NA,NA,NA,NA,"pex12","ymr026c","ORF","324236-325435","-","XIII","ymr026c",-15.6379987677095
NA,NA,NA,NA,"dgk1","yor311c","ORF","899056-899928","-","XV","yor311c",-15.6493720804938
NA,NA,NA,NA,"fre1","ylr214w","ORF","568567-570627","+","XII","ylr214w",-15.7253299895655
NA,NA,NA,NA,"ptc3","ybl056w","ORF","113762-115168","+","II","ybl056w",-15.7592833281218
"pet117",0,0,1,"pet117","yer058w","ORF","271768-272091","+","V","yer058w",-15.773705980585
NA,NA,NA,NA,"uls1","yor191w","ORF","692475-697334","+","XV","yor191w",-15.7761998067265
NA,NA,NA,NA,"arg81","yml099c","ORF","74398-77040","-","XIII","yml099c",-15.8789210535714
NA,NA,NA,NA,"mtw1","yal034w-a","ORF","79718-80587","+","I","yal034w-a",-15.892371002001
NA,NA,NA,NA,"nse4","ydl105w","ORF","272389-273597","+","IV","ydl105w",-15.9065104792611
NA,NA,NA,NA,"vps65","ylr322w","ORF","777628-777942","+","XII","ylr322w",-15.9215630010878
NA,NA,NA,NA,"ybr103c-a","ybr103c-a","ORF","449320-449463","-","II","ybr103c-a",-16.0097512190013
NA,NA,NA,NA,"nce101","yjl205c","ORF","50139-50443","-","X","yjl205c",-16.1089983449017
NA,NA,NA,NA,"yhr028w-a","yhr028w-a","ORF","167352-167672","+","VIII","yhr028w-a",-16.1352573754964
NA,NA,NA,NA,"smc5","yol034w","ORF","259923-263204","+","XV","yol034w",-16.1467700991429
NA,NA,NA,NA,"yil108w","yil108w","ORF","160887-162977","+","IX","yil108w",-16.1903434107631
NA,NA,NA,NA,"mrps9","ybr146w","ORF","535260-536096","+","II","ybr146w",-16.2010637869931
NA,NA,NA,NA,"fkh1","yil131c","ORF","100781-102235","-","IX","yil131c",-16.2142664488888
NA,NA,NA,NA,"dma2","ynl116w","ORF","408341-409909","+","XIV","ynl116w",-16.2142834824171
NA,NA,NA,NA,"skp2","ynl311c","ORF","49397-51688","-","XIV","ynl311c",-16.3381816370887
"cat5",0,0,1,"cat5","yor125c","ORF","559030-559731","-","XV","yor125c",-16.3394365522411
NA,NA,NA,NA,"cha4","ylr098c","ORF","337527-339473","-","XII","ylr098c",-16.3564445999296
NA,NA,NA,NA,"crr1","ylr213c","ORF","566654-567922","-","XII","ylr213c",-16.3883371810357
NA,NA,NA,NA,"rfc3","ynl290w","ORF","86218-87240","+","XIV","ynl290w",-16.3942706434648
NA,NA,NA,NA,"dsf2","ybr007c","ORF","248806-251016","-","II","ybr007c",-16.4289120413897
NA,NA,NA,NA,"yke4","yil023c","ORF","309386-310426","-","IX","yil023c",-16.5625734446023
NA,NA,NA,NA,"gud1","ydl238c","ORF","28985-30454","-","IV","ydl238c",-16.588684376567
NA,NA,NA,NA,"yjr061w","yjr061w","ORF","550511-553318","+","X","yjr061w",-16.5969390476484
NA,NA,NA,NA,"ydr182w-a","ydr182w-a","ORF","829151-829354","+","IV","ydr182w-a",-16.6544337298686
NA,NA,NA,NA,"cdc14","yfr028c","ORF","208413-210068","-","VI","yfr028c",-16.6706096227151
NA,NA,NA,NA,"nvj3","ydr179w-a","ORF","819433-820824","+","IV","ydr179w-a",-16.6870250648139
NA,NA,NA,NA,"yfl067w","yfl067w","ORF","836-1363","+","VI","yfl067w",-16.7673758636433
NA,NA,NA,NA,"yil171w","yil171w","pseudogene","19515-19844","+","IX","yil171w",-16.797832666099
NA,NA,NA,NA,"ybl029c-a","ybl029c-a","ORF","164488-164772","-","II","ybl029c-a",-16.7983764494176
NA,NA,NA,NA,"ydl016c","ydl016c","ORF","425570-425872","-","IV","ydl016c",-16.9066809162789
NA,NA,NA,NA,"ynr064c","ynr064c","ORF","749136-750008","-","XIV","ynr064c",-16.910135607171
NA,NA,NA,NA,"spr1","yor190w","ORF","690695-692032","+","XV","yor190w",-16.9653313372368
NA,NA,NA,NA,"rim20","yor275c","ORF","839084-841069","-","XV","yor275c",-16.9870949273202
NA,NA,NA,NA,"ypl278c","ypl278c","ORF","15053-15355","-","XVI","ypl278c",-17.0043378599251
NA,NA,NA,NA,"tgl2","ydr058c","ORF","567723-568703","-","IV","ydr058c",-17.0281386561295
NA,NA,NA,NA,"ygr015c","ygr015c","ORF","521090-522076","-","VII","ygr015c",-17.0337166424266
NA,NA,NA,NA,"thi73","ylr004c","ORF","157934-159505","-","XII","ylr004c",-17.1035705601025
NA,NA,NA,NA,"spg3","ydr504c","ORF","1456311-1456694","-","IV","ydr504c",-17.1149223597171
NA,NA,NA,NA,"yjr023c","yjr023c","ORF","469804-470205","-","X","yjr023c",-17.1271646854595
NA,NA,NA,NA,"ynl235c","ynl235c","ORF","209548-209979","-","XIV","ynl235c",-17.3963605586724
NA,NA,NA,NA,"ufd4","ykl010c","ORF","421424-425875","-","XI","ykl010c",-17.3970401394931
NA,NA,NA,NA,"ygr153w","ygr153w","ORF","796092-796745","+","VII","ygr153w",-17.3983840631252
"ymr018w",0,1,0,"ymr018w","ymr018w","ORF","310208-311752","+","XIII","ymr018w",-17.4652077904382
NA,NA,NA,NA,"yll054c","yll054c","ORF","32673-35204","-","XII","yll054c",-17.4743042118174
NA,NA,NA,NA,"fpk1","ynr047w","ORF","708523-711204","+","XIV","ynr047w",-17.5093464106431
NA,NA,NA,NA,"nup42","ydr192c","ORF","843569-844861","-","IV","ydr192c",-17.5873534550391
NA,NA,NA,NA,"far11","ynl127w","ORF","383987-386848","+","XIV","ynl127w",-17.6476471117494
NA,NA,NA,NA,"est1","ylr233c","ORF","607425-609524","-","XII","ylr233c",-17.6992471433291
NA,NA,NA,NA,"rri2","yol117w","ORF","97551-99488","+","XV","yol117w",-17.7489101826353
NA,NA,NA,NA,"yil014c-a","yil014c-a","ORF","325212-325526","-","IX","yil014c-a",-17.7754234986031
NA,NA,NA,NA,"bud4","yjr092w","ORF","598735-603078","+","X","yjr092w",-17.7894575171128
NA,NA,NA,NA,"mss2","ydl107w","ORF","268921-269976","+","IV","ydl107w",-17.8561405647701
NA,NA,NA,NA,"vac7","ynl054w","ORF","526086-529583","+","XIV","ynl054w",-17.8672202871734
NA,NA,NA,NA,"qdr1","yil120w","ORF","134417-136108","+","IX","yil120w",-17.8696082251643
"sds3",0,0,1,"sds3","yil084c","ORF","202276-203259","-","IX","yil084c",-17.8789020647059
NA,NA,NA,NA,"taf8","yml114c","ORF","42043-43575","-","XIII","yml114c",-17.9155465606354
NA,NA,NA,NA,"tep1","ynl128w","ORF","382359-383663","+","XIV","ynl128w",-17.9782863437355
NA,NA,NA,NA,"pin2","yor104w","ORF","517642-518490","+","XV","yor104w",-17.9939719515992
NA,NA,NA,NA,"ybr200w-a","ybr200w-a","ORF","622983-623147","+","II","ybr200w-a",-18.0195780815581
NA,NA,NA,NA,"ymr306c-a","ymr306c-a","ORF","886183-886572","-","XIII","ymr306c-a",-18.0621942953262
NA,NA,NA,NA,"ybl065w","ybl065w","ORF","99963-100307","+","II","ybl065w",-18.2276075495922
NA,NA,NA,NA,"ybl100w-a","ybl100w-a","transposable_element_gene","29935-31251","+","II","ybl100w-a",-18.5617287747789
NA,NA,NA,NA,"nuf2","yol069w","ORF","198942-200297","+","XV","yol069w",-18.6345831379528
NA,NA,NA,NA,"mnn10","ydr245w","ORF","952800-953981","+","IV","ydr245w",-18.6851219192848
NA,NA,NA,NA,"snz3","yfl059w","ORF","11363-12259","+","VI","yfl059w",-18.7562713159088
NA,NA,NA,NA,"ygr045c","ygr045c","ORF","583934-584296","-","VII","ygr045c",-18.7756736692736
NA,NA,NA,NA,"nhx1","ydr456w","ORF","1367485-1369386","+","IV","ydr456w",-18.8073324404175
NA,NA,NA,NA,"trk1","yjl129c","ORF","173599-177306","-","X","yjl129c",-18.8282959074906
NA,NA,NA,NA,"heh2","ydr458c","ORF","1380055-1382046","-","IV","ydr458c",-18.8537451503069
NA,NA,NA,NA,"thi74","ydr438w","ORF","1338274-1339386","+","IV","ydr438w",-18.8648225530605
"rad9",0,0,1,"rad9","ydr217c","ORF","899551-903480","-","IV","ydr217c",-18.9171928522513
NA,NA,NA,NA,"drn1","ygr093w","ORF","670388-671911","+","VII","ygr093w",-18.9320134309271
"jnm1",0,0,1,"jnm1","ymr294w","ORF","856966-858087","+","XIII","ymr294w",-18.9733245874277
NA,NA,NA,NA,"oms1","ydr316w","ORF","1093763-1095178","+","IV","ydr316w",-19.0154564613229
NA,NA,NA,NA,"pol4","ycr014c","ORF","139185-140933","-","III","ycr014c",-19.0489262457553
NA,NA,NA,NA,"rrf1","yhr038w","ORF","184066-184758","+","VIII","yhr038w",-19.06935006174
NA,NA,NA,NA,"use1","ygl098w","ORF","317342-318079","+","VII","ygl098w",-19.196947091417
NA,NA,NA,NA,"fex2","ypl279c","ORF","13228-14355","-","XVI","ypl279c",-19.2095928909388
NA,NA,NA,NA,"prp6","ybr055c","ORF","344602-347301","-","II","ybr055c",-19.2117594727112
NA,NA,NA,NA,"ten1","ylr010c","ORF","167320-167802","-","XII","ylr010c",-19.2294860591764
NA,NA,NA,NA,"atc1","ydr184c","ORF","830629-831513","-","IV","ydr184c",-19.2962832325963
"sak1",0,0,1,"sak1","yer129w","ORF","417281-420709","+","V","yer129w",-19.2978073603508
"sap30",0,0,1,"sap30","ymr263w","ORF","794919-795524","+","XIII","ymr263w",-19.2998208391352
"mak3",0,0,1,"mak3","ypr051w","ORF","664960-665490","+","XVI","ypr051w",-19.3145308738799
NA,NA,NA,NA,"aim32","yml050w","ORF","173139-174074","+","XIII","yml050w",-19.3299944115132
"rrm3",0,0,1,"rrm3","yhr031c","ORF","170799-172970","-","VIII","yhr031c",-19.3538886158065
NA,NA,NA,NA,"pho86","yjl117w","ORF","192531-193466","+","X","yjl117w",-19.4032728511134
NA,NA,NA,NA,"ycr038w-a","ycr038w-a","ORF","199293-199418","+","III","ycr038w-a",-19.4097150013574
"ste11",0,0,1,"ste11","ylr362w","ORF","849866-852019","+","XII","ylr362w",-19.4936916088177
NA,NA,NA,NA,"prp4","ypr178w","ORF","892332-893729","+","XVI","ypr178w",-19.5330599114013
NA,NA,NA,NA,"sld3","ygl113w","ORF","295932-297938","+","VII","ygl113w",-19.5901014952338
NA,NA,NA,NA,"ygl140c","ygl140c","ORF","241353-245012","-","VII","ygl140c",-19.5962699747908
NA,NA,NA,NA,"hxt17","ynr072w","ORF","772657-774351","+","XIV","ynr072w",-19.6759634571676
NA,NA,NA,NA,"yhl026c","yhl026c","ORF","53219-54166","-","VIII","yhl026c",-19.7047415963036
"ydl057w",0,0,1,"ydl057w","ydl057w","ORF","351434-352420","+","IV","ydl057w",-19.772330870509
NA,NA,NA,NA,"ygl239c","ygl239c","ORF","49431-49745","-","VII","ygl239c",-19.937098832857
NA,NA,NA,NA,"ecm9","ykr004c","ORF","446799-448036","-","XI","ykr004c",-19.946084932846
NA,NA,NA,NA,"mrpl7","ydr237w","ORF","936615-937493","+","IV","ydr237w",-19.9925338831817
NA,NA,NA,NA,"rfa2","ynl312w","ORF","48287-49216","+","XIV","ynl312w",-19.9972228323744
NA,NA,NA,NA,"yal037w","yal037w","ORF","74020-74823","+","I","yal037w",-20.0017355564304
"reg1",0,0,1,"reg1","ydr028c","ORF","497835-500879","-","IV","ydr028c",-20.0651553554412
NA,NA,NA,NA,"spc105","ygl093w","ORF","334886-337639","+","VII","ygl093w",-20.0783207445544
NA,NA,NA,NA,"pfa4","yol003c","ORF","321858-322994","-","XV","yol003c",-20.1266808479388
NA,NA,NA,NA,"eds1","ybr033w","ORF","301944-304703","+","II","ybr033w",-20.2636333149405
NA,NA,NA,NA,"mcp2","ylr253w","ORF","642627-644336","+","XII","ylr253w",-20.3012583342596
NA,NA,NA,NA,"prp22","yer013w","ORF","178841-182278","+","V","yer013w",-20.3322960982073
NA,NA,NA,NA,"mdm12","yol009c","ORF","309324-310139","-","XV","yol009c",-20.377082031138
NA,NA,NA,NA,"taf4","ymr005w","ORF","276045-277211","+","XIII","ymr005w",-20.4136061192894
NA,NA,NA,NA,"rmp1","ylr145w","ORF","432168-432773","+","XII","ylr145w",-20.4253036780419
NA,NA,NA,NA,"yeh2","ylr020c","ORF","181789-183405","-","XII","ylr020c",-20.5415903235082
NA,NA,NA,NA,"amf1","yor378w","ORF","1049511-1051058","+","XV","yor378w",-20.5625273012065
NA,NA,NA,NA,"ydl094c","ydl094c","ORF","289572-290081","-","IV","ydl094c",-20.7507082906466
NA,NA,NA,NA,"ykr012c","ykr012c","ORF","463739-464116","-","XI","ykr012c",-20.8691131816408
NA,NA,NA,NA,"pop2","ynr052c","ORF","719346-720647","-","XIV","ynr052c",-20.8766903431683
NA,NA,NA,NA,"cnn1","yfr046c","ORF","243074-244159","-","VI","yfr046c",-21.0287041542553
NA,NA,NA,NA,"ecm18","ydr125c","ORF","701397-702758","-","IV","ydr125c",-21.0393952817282
NA,NA,NA,NA,"tap42","ymr028w","ORF","327482-328582","+","XIII","ymr028w",-21.0712359304584
"pnt1",0,0,1,"pnt1","yor266w","ORF","821023-822294","+","XV","yor266w",-21.1113495860056
NA,NA,NA,NA,"pkr1","ymr123w","ORF","513593-513961","+","XIII","ymr123w",-21.1414260724813
NA,NA,NA,NA,"emp65","yer140w","ORF","451565-453235","+","V","yer140w",-21.1546589708697
NA,NA,NA,NA,"cpt1","ynl130c","ORF","379558-380831","-","XIV","ynl130c",-21.1868656244173
NA,NA,NA,NA,"ymr141w-a","ymr141w-a","ORF","550911-551135","+","XIII","ymr141w-a",-21.2872087613866
NA,NA,NA,NA,"erv41","yml067c","ORF","139063-140214","-","XIII","yml067c",-21.2978669573708
NA,NA,NA,NA,"ygl188c-a","ygl188c-a","ORF","148824-148964","-","VII","ygl188c-a",-21.3096811853668
NA,NA,NA,NA,"rtc4","ynl254c","ORF","168043-169248","-","XIV","ynl254c",-21.3293890669862
NA,NA,NA,NA,"spo20","ymr017w","ORF","307489-308682","+","XIII","ymr017w",-21.3892934265194
NA,NA,NA,NA,"rsm26","yjr101w","ORF","618234-619034","+","X","yjr101w",-21.4620920326475
NA,NA,NA,NA,"yer165c-a","yer165c-a","ORF","512627-512983","-","V","yer165c-a",-21.5516455296449
"nmd2",0,0,1,"nmd2","yhr077c","ORF","252374-255756","-","VIII","yhr077c",-21.5577315873202
NA,NA,NA,NA,"vps74","ydr372c","ORF","1221112-1222149","-","IV","ydr372c",-21.5727145246173
NA,NA,NA,NA,"ydr118w-a","ydr118w-a","ORF","687768-687884","+","IV","ydr118w-a",-21.573883064743
NA,NA,NA,NA,"mec3","ylr288c","ORF","713480-714904","-","XII","ylr288c",-21.5838143918122
NA,NA,NA,NA,"muk1","ypl070w","ORF","420948-422786","+","XVI","ypl070w",-21.6405268590252
"far8",0,1,0,"far8","ymr029c","ORF","328660-330231","-","XIII","ymr029c",-21.6739590862627
NA,NA,NA,NA,"rib5","ybr256c","ORF","727386-728102","-","II","ybr256c",-21.6865095492863
NA,NA,NA,NA,"rtt105","yer104w","ORF","366802-367428","+","V","yer104w",-21.7271466787701
NA,NA,NA,NA,"msh4","yfl003c","ORF","134521-137157","-","VI","yfl003c",-21.7618079802901
NA,NA,NA,NA,"tcb2","ynl087w","ORF","462411-465947","+","XIV","ynl087w",-21.829680574851
NA,NA,NA,NA,"ygr126w","ygr126w","ORF","745835-746527","+","VII","ygr126w",-21.8642732488038
NA,NA,NA,NA,"ydr199w","ydr199w","ORF","854175-854540","+","IV","ydr199w",-21.8967040738133
NA,NA,NA,NA,"spc34","ykr037c","ORF","510910-511797","-","XI","ykr037c",-21.9344269713082
NA,NA,NA,NA,"ufd1","ygr048w","ORF","589826-590911","+","VII","ygr048w",-22.0980492535375
NA,NA,NA,NA,"orc1","yml065w","ORF","142210-144954","+","XIII","yml065w",-22.1683158632868
NA,NA,NA,NA,"mud2","ykl074c","ORF","294610-296193","-","XI","ykl074c",-22.1716706113823
NA,NA,NA,NA,"ybr063c","ybr063c","ORF","366970-368184","-","II","ybr063c",-22.191388179716
NA,NA,NA,NA,"cef1","ymr213w","ORF","693381-695153","+","XIII","ymr213w",-22.2259807631264
NA,NA,NA,NA,"spc42","ykl042w","ORF","358475-359566","+","XI","ykl042w",-22.233259900248
NA,NA,NA,NA,"big1","yhr101c","ORF","314874-315968","-","VIII","yhr101c",-22.2806881772136
NA,NA,NA,NA,"gpi11","ydr302w","ORF","1067731-1068390","+","IV","ydr302w",-22.2820132198606
NA,NA,NA,NA,"yhi9","yhr029c","ORF","167677-168561","-","VIII","yhr029c",-22.3577648390541
NA,NA,NA,NA,"mch4","yol119c","ORF","94856-96361","-","XV","yol119c",-22.3882606866005
NA,NA,NA,NA,"ygl159w","ygl159w","ORF","202721-203833","+","VII","ygl159w",-22.5586290291891
NA,NA,NA,NA,"ufo1","yml088w","ORF","92235-94241","+","XIII","yml088w",-22.5720140146898
NA,NA,NA,NA,"yjr120w","yjr120w","ORF","647126-647476","+","X","yjr120w",-22.5920057907755
NA,NA,NA,NA,"msl1","yir009w","ORF","374525-374860","+","IX","yir009w",-22.6485925402295
NA,NA,NA,NA,"gpi14","yjr013w","ORF","460382-461593","+","X","yjr013w",-22.6726346745084
NA,NA,NA,NA,"sen1","ylr430w","ORF","993434-1000129","+","XII","ylr430w",-22.7124182698104
NA,NA,NA,NA,"rpl15b","ymr121c","ORF","509734-510348","-","XIII","ymr121c",-22.8192660491511
NA,NA,NA,NA,"glt1","ydl171c","ORF","149203-155640","-","IV","ydl171c",-22.9173441178767
"atg10",0,0,1,"atg10","yll042c","ORF","52087-52590","-","XII","yll042c",-22.991938768813
NA,NA,NA,NA,"ylr366w","ylr366w","ORF","855538-855843","+","XII","ylr366w",-23.0290835612662
NA,NA,NA,NA,"rpb3","yil021w","ORF","312905-313861","+","IX","yil021w",-23.0704294648438
NA,NA,NA,NA,"coq9","ylr201c","ORF","549511-550293","-","XII","ylr201c",-23.1011314620866
NA,NA,NA,NA,"yhl018w","yhl018w","ORF","69708-70070","+","VIII","yhl018w",-23.2154610213062
"swi5",0,1,0,"swi5","ydr146c","ORF","748613-750742","-","IV","ydr146c",-23.2175161598931
NA,NA,NA,NA,"ypl038w-a","ypl038w-a","ORF","480182-480373","+","XVI","ypl038w-a",-23.229775496884
NA,NA,NA,NA,"bud16","yel029c","ORF","96858-97796","-","V","yel029c",-23.2784985239084
NA,NA,NA,NA,"ydr269c","ydr269c","ORF","1005665-1005988","-","IV","ydr269c",-23.5242563219575
NA,NA,NA,NA,"toh1","yjl171c","ORF","99704-100894","-","X","yjl171c",-23.5287173519109
NA,NA,NA,NA,"csm4","ypl200w","ORF","171484-171954","+","XVI","ypl200w",-23.5706938470111
NA,NA,NA,NA,"yap7","yol028c","ORF","270633-271370","-","XV","yol028c",-23.6079416457446
NA,NA,NA,NA,"snp1","yil061c","ORF","244657-245559","-","IX","yil061c",-23.6323745310874
NA,NA,NA,NA,"ypr130c","ypr130c","ORF","793374-793781","-","XVI","ypr130c",-23.7052792933685
NA,NA,NA,NA,"rrn9","ymr270c","ORF","805326-806423","-","XIII","ymr270c",-23.7799821374012
NA,NA,NA,NA,"yer076c","yer076c","ORF","312590-313498","-","V","yer076c",-23.780533550361
NA,NA,NA,NA,"dpb11","yjl090c","ORF","262757-265051","-","X","yjl090c",-23.855243039869
NA,NA,NA,NA,"tim12","ybr091c","ORF","427155-427484","-","II","ybr091c",-23.894621565651
NA,NA,NA,NA,"ykl177w","ykl177w","ORF","114356-114694","+","XI","ykl177w",-23.9154547276091
NA,NA,NA,NA,"van1","yml115c","ORF","40187-41794","-","XIII","yml115c",-23.9819318205361
NA,NA,NA,NA,"pbp2","ybr233w","ORF","683428-684669","+","II","ybr233w",-24.1232203478722
