"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"ydr034c-c","ydr034c-c","transposable_element_gene","518040-519356","-","IV","ydr034c-c",4.27759848349986,-4.08729321692417
"ume6",0,0,1,"ume6","ydr207c","ORF","865012-867522","-","IV","ydr207c",4.27852050600963,6.94975970375802
NA,NA,NA,NA,"nmd3","yhr170w","ORF","443828-445384","+","VIII","yhr170w",4.28655893705569,-115.300193686524
"agc1",0,1,0,"agc1","ypr021c","ORF","600649-603357","-","XVI","ypr021c",4.3056795566061,11.1060052921947
NA,NA,NA,NA,"mdm32","yor147w","ORF","606607-608475","+","XV","yor147w",4.31044993448438,16.0741946778071
NA,NA,NA,NA,"dtd1","ydl219w","ORF","65242-65765","+","IV","ydl219w",4.31420348275343,-3.78586151695527
NA,NA,NA,NA,"fsh3","yor280c","ORF","844992-845792","-","XV","yor280c",4.350876892679,-10.5694509000536
"pet127",0,1,0,"pet127","yor017w","ORF","361412-363814","+","XV","yor017w",4.35934721825623,-0.659954331062571
NA,NA,NA,NA,"sey1","yor165w","ORF","644566-646896","+","XV","yor165w",4.39482770478406,-3.37579875330418
NA,NA,NA,NA,"pti1","ygr156w","ORF","800546-801823","+","VII","ygr156w",4.39907284574335,-1.58618866126707
NA,NA,NA,NA,"vps74","ydr372c","ORF","1221112-1222149","-","IV","ydr372c",4.40094238648425,-17.1717721381331
NA,NA,NA,NA,"prm15","ymr278w","ORF","822763-824631","+","XIII","ymr278w",4.41633205806854,1.33790867353604
NA,NA,NA,NA,"osw2","ylr054c","ORF","248717-250978","-","XII","ylr054c",4.42240361699273,-4.19778484779451
NA,NA,NA,NA,"ypl073c","ypl073c","ORF","418499-418984","-","XVI","ypl073c",4.43202364434804,-1.38197509183026
NA,NA,NA,NA,"ira1","ybr140c","ORF","517350-526628","-","II","ybr140c",4.44361307110203,-8.14085519962148
NA,NA,NA,NA,"stu2","ylr045c","ORF","235037-237703","-","XII","ylr045c",4.44738796141734,-1.13679633998647
NA,NA,NA,NA,"yml083c","yml083c","ORF","99794-101050","-","XIII","yml083c",4.45476757838298,0.847900112646313
NA,NA,NA,NA,"kip2","ypl155c","ORF","257216-259336","-","XVI","ypl155c",4.45656449028977,1.80299676720711
NA,NA,NA,NA,"csm2","yil132c","ORF","99860-100501","-","IX","yil132c",4.48186674187935,-5.87910028706244
NA,NA,NA,NA,"ylr149c-a","ylr149c-a","ORF","440370-440456","-","XII","ylr149c-a",4.54707988520646,-10.9923956295232
NA,NA,NA,NA,"uli1","yfr026c","ORF","205748-206257","-","VI","yfr026c",4.54760592755863,8.18190030481892
NA,NA,NA,NA,"yor192c-a","yor192c-a","transposable_element_gene","708416-709732","-","XV","yor192c-a",4.55944663820693,-4.92342597321186
NA,NA,NA,NA,"rev7","yil139c","ORF","87979-88716","-","IX","yil139c",4.55952972577898,-1.28770054031407
NA,NA,NA,NA,"thi13","ydl244w","ORF","16204-17226","+","IV","ydl244w",4.60625229279251,-3.82856087745961
NA,NA,NA,NA,"rav2","ydr202c","ORF","856898-857953","-","IV","ydr202c",4.61105220557656,38.4130378065687
NA,NA,NA,NA,"ydr445c","ydr445c","ORF","1352182-1352589","-","IV","ydr445c",4.62209308595193,0.484325725131077
NA,NA,NA,NA,"orc6","yhr118c","ORF","344321-345628","-","VIII","yhr118c",4.63000032380936,-4.75706166004075
NA,NA,NA,NA,"ktr5","ynl029c","ORF","577205-578773","-","XIV","ynl029c",4.63981099123051,-4.94615007127168
NA,NA,NA,NA,"fun26","yal022c","ORF","108877-110430","-","I","yal022c",4.65829855438745,-3.48837368167892
NA,NA,NA,NA,"yel014c","yel014c","ORF","128303-128608","-","V","yel014c",4.67245540990556,-4.29452002616268
NA,NA,NA,NA,"mrpl44","ymr225c","ORF","720960-721403","-","XIII","ymr225c",4.67249639336165,-29.1864524639469
NA,NA,NA,NA,"npp2","yel016c","ORF","124737-126218","-","V","yel016c",4.68508614522836,0.277839351063637
NA,NA,NA,NA,"faa3","yil009w","ORF","339344-341428","+","IX","yil009w",4.69209968326498,-2.22103683662119
NA,NA,NA,NA,"cwc22","ygr278w","ORF","1046731-1048464","+","VII","ygr278w",4.70918751186398,-6.50743468441182
"sal1",0,0,1,"sal1","ynl083w","ORF","471377-472861","+","XIV","ynl083w",4.71539712075772,-0.586980122008425
NA,NA,NA,NA,"sdt1","ygl224c","ORF","78015-78857","-","VII","ygl224c",4.7166635217581,10.484097315885
NA,NA,NA,NA,"ynl277w-a","ynl277w-a","ORF","116679-116867","+","XIV","ynl277w-a",4.72737657386512,-7.10347598549677
NA,NA,NA,NA,"mps1","ydl028c","ORF","400997-403291","-","IV","ydl028c",4.73103074595069,1.13243680997066
NA,NA,NA,NA,"pes4","yfr023w","ORF","199874-201709","+","VI","yfr023w",4.73568227845898,-3.61478204706144
NA,NA,NA,NA,"ego2","ycr075w-a","ORF","248975-249202","+","III","ycr075w-a",4.73931620656556,-0.602625567216534
NA,NA,NA,NA,"taf1","ygr274c","ORF","1039895-1043095","-","VII","ygr274c",4.75363550692918,-4.50775476805092
NA,NA,NA,NA,"ynl089c","ynl089c","ORF","456693-457169","-","XIV","ynl089c",4.78992267050026,-6.53433688191639
NA,NA,NA,NA,"yol134c","yol134c","ORF","70156-70545","-","XV","yol134c",4.80194285636339,45.2153033683533
NA,NA,NA,NA,"pad1","ydr538w","ORF","1510902-1511630","+","IV","ydr538w",4.81005110022494,20.5855465809836
"nmd2",0,0,1,"nmd2","yhr077c","ORF","252374-255756","-","VIII","yhr077c",4.83305106210321,-16.724680525217
NA,NA,NA,NA,"cia1","ydr267c","ORF","1002510-1003502","-","IV","ydr267c",4.83417730952233,-42.5946285826455
NA,NA,NA,NA,"rma1","ykl132c","ORF","193574-194866","-","XI","ykl132c",4.86374752745743,-7.58502115995224
"bst1",0,1,0,"bst1","yfl025c","ORF","84145-87234","-","VI","yfl025c",4.89585634164781,-0.0737796131420472
NA,NA,NA,NA,"cbs2","ydr197w","ORF","851228-852397","+","IV","ydr197w",4.90096333004054,0.852233823035719
NA,NA,NA,NA,"dcv1","yfr012w","ORF","167888-168496","+","VI","yfr012w",4.904901099923,0.569455020746995
NA,NA,NA,NA,"mif2","ykl089w","ORF","273394-275043","+","XI","ykl089w",4.93042939444181,-9.97854814931458
NA,NA,NA,NA,"ulp1","ypl020c","ORF","512313-514178","-","XVI","ypl020c",4.94191391607364,-2.92770012700723
NA,NA,NA,NA,"ygl118c","ygl118c","ORF","288014-288451","-","VII","ygl118c",4.94947801337729,-4.05004650103669
NA,NA,NA,NA,"rho4","ykr055w","ORF","548216-549091","+","XI","ykr055w",4.95330939936311,-2.30419453788696
NA,NA,NA,NA,"sec9","ygr009c","ORF","509047-511002","-","VII","ygr009c",4.95950016402365,32.6824973750684
NA,NA,NA,NA,"yor131c","yor131c","ORF","572182-572838","-","XV","yor131c",4.96446333785159,30.3910654717637
NA,NA,NA,NA,"taf4","ymr005w","ORF","276045-277211","+","XIII","ymr005w",4.97654306029406,-15.4370630589954
"mre11",0,0,1,"mre11","ymr224c","ORF","718575-720653","-","XIII","ymr224c",4.97816370650426,-8.61688905401246
NA,NA,NA,NA,"his5","yil116w","ORF","142928-144085","+","IX","yil116w",4.98417164072507,20.8047469283477
NA,NA,NA,NA,"taf8","yml114c","ORF","42043-43575","-","XIII","yml114c",4.9922071707396,-12.9233393898958
NA,NA,NA,NA,"fre8","ylr047c","ORF","239347-241407","-","XII","ylr047c",5.00436648805805,5.26982277827835
NA,NA,NA,NA,"bud14","yar014c","ORF","166742-168871","-","I","yar014c",5.01356806116769,-8.23361648750309
NA,NA,NA,NA,"ybr113w","ybr113w","ORF","465566-466048","+","II","ybr113w",5.02100620107618,5.88636675518853
"far10",0,1,0,"far10","ylr238w","ORF","614755-616191","+","XII","ylr238w",5.03502306518713,-2.4097235777782
NA,NA,NA,NA,"ydr239c","ydr239c","ORF","941057-943420","-","IV","ydr239c",5.05519250491486,-7.57076954630191
NA,NA,NA,NA,"mrx11","ypl041c","ORF","475118-475741","-","XVI","ypl041c",5.05942359574623,-3.18732615106004
NA,NA,NA,NA,"ctf13","ymr094w","ORF","455825-457261","+","XIII","ymr094w",5.06056378968335,-4.35596334896472
"siz1",0,0,1,"siz1","ydr409w","ORF","1289406-1292120","+","IV","ydr409w",5.06137944401585,7.38256181406206
"ubx4",0,0,1,"ubx4","ymr067c","ORF","404323-405573","-","XIII","ymr067c",5.07086413486855,-8.12519373279051
NA,NA,NA,NA,"sae2","ygl175c","ORF","173285-174322","-","VII","ygl175c",5.09374505410543,-0.528001044198484
NA,NA,NA,NA,"ycl022c","ycl022c","ORF","81570-82085","-","III","ycl022c",5.11368797181397,1.91600860629236
NA,NA,NA,NA,"gpi15","ynl038w","ORF","557020-557783","+","XIV","ynl038w",5.11653497000381,-25.8282411421692
NA,NA,NA,NA,"tda4","yjr116w","ORF","640825-641664","+","X","yjr116w",5.13630502141899,3.68138006427878
NA,NA,NA,NA,"tcb2","ynl087w","ORF","462411-465947","+","XIV","ynl087w",5.18307671842206,-16.646603856429
NA,NA,NA,NA,"kip1","ybl063w","ORF","101886-105221","+","II","ybl063w",5.21152279368136,-2.26524293922189
NA,NA,NA,NA,"ymr052c-a","ymr052c-a","ORF","380069-380434","-","XIII","ymr052c-a",5.23101903154432,0.398932685943205
NA,NA,NA,NA,"yel043w","yel043w","ORF","70478-73348","+","V","yel043w",5.23438431142856,-6.9803845998213
NA,NA,NA,NA,"pol3","ydl102w","ORF","276872-280165","+","IV","ydl102w",5.24654382404572,-8.59845259279853
NA,NA,NA,NA,"atg23","ylr431c","ORF","1000342-1001703","-","XII","ylr431c",5.29166991154268,-3.46582917519392
NA,NA,NA,NA,"tho2","ynl139c","ORF","360924-365717","-","XIV","ynl139c",5.29821470115264,-2.99638101317752
NA,NA,NA,NA,"mnl1","yhr204w","ORF","506319-508709","+","VIII","yhr204w",5.31620681827917,-3.52651165200972
NA,NA,NA,NA,"kin28","ydl108w","ORF","267698-268699","+","IV","ydl108w",5.33239121562118,-24.1814322748594
NA,NA,NA,NA,"tor2","ykl203c","ORF","55935-63359","-","XI","ykl203c",5.35917888814135,-3.51709208208992
"inp53",0,0,1,"inp53","yor109w","ORF","525278-528601","+","XV","yor109w",5.37050141265513,-0.55607513380888
NA,NA,NA,NA,"neo1","yil048w","ORF","261437-264892","+","IX","yil048w",5.37457493603045,8.47788560706137
NA,NA,NA,NA,"rrp6","yor001w","ORF","326832-329033","+","XV","yor001w",5.37676824049789,-56.9577769883705
NA,NA,NA,NA,"sgm1","yjr134c","ORF","673729-675852","-","X","yjr134c",5.37912822111473,-4.12562641606079
NA,NA,NA,NA,"mdm38","yol027c","ORF","272003-273724","-","XV","yol027c",5.38942607339268,-61.2051816491487
NA,NA,NA,NA,"nsa1","ygl111w","ORF","299978-301369","+","VII","ygl111w",5.42307746852284,-70.0575023562057
NA,NA,NA,NA,"nkp2","ylr315w","ORF","764808-765269","+","XII","ylr315w",5.4344677092595,-3.76491845049486
"mne1",0,0,1,"mne1","yor350c","ORF","992864-994855","-","XV","yor350c",5.49211446778315,-1.4521793807108
"sds3",0,0,1,"sds3","yil084c","ORF","202276-203259","-","IX","yil084c",5.50655427293383,-12.372347791772
NA,NA,NA,NA,"sln1","yil147c","ORF","69791-73453","-","IX","yil147c",5.51288274770369,-4.06588542952747
NA,NA,NA,NA,"ert1","ybr239c","ORF","698354-699943","-","II","ybr239c",5.55063214216572,-2.55334185860848
NA,NA,NA,NA,"hos1","ypr068c","ORF","682941-684353","-","XVI","ypr068c",5.56097110697228,-6.95511707857124
"nrk1",0,0,1,"nrk1","ynl129w","ORF","381480-382202","+","XIV","ynl129w",5.61819502483088,1.03424677696341
NA,NA,NA,NA,"dom34","ynl001w","ORF","627456-628616","+","XIV","ynl001w",5.62532551633699,-30.627474139544
NA,NA,NA,NA,"pre7","ybl041w","ORF","141247-141972","+","II","ybl041w",5.62777480843563,33.1702294637339
NA,NA,NA,NA,"mtg2","yhr168w","ORF","440377-441933","+","VIII","yhr168w",5.64696399849125,-5.65706593369981
NA,NA,NA,NA,"ubc11","yor339c","ORF","958362-958832","-","XV","yor339c",5.66287972844283,6.09799929381278
"kar3",0,1,0,"kar3","ypr141c","ORF","815734-817923","-","XVI","ypr141c",5.67191753059298,-5.45722894586464
NA,NA,NA,NA,"sps2","ydr522c","ORF","1483795-1485303","-","IV","ydr522c",5.67689607935699,-6.14467494836771
NA,NA,NA,NA,"ydl163w","ydl163w","ORF","166956-167258","+","IV","ydl163w",5.72583413635255,-7.67093045087751
NA,NA,NA,NA,"hol1","ynr055c","ORF","728426-730186","-","XIV","ynr055c",5.72717120014598,18.5072770765496
NA,NA,NA,NA,"ylr236c","ylr236c","ORF","611794-612117","-","XII","ylr236c",5.73333018294326,-1.54627790930253
NA,NA,NA,NA,"pif1","yml061c","ORF","148953-151532","-","XIII","yml061c",5.73888401195408,-9.51947146808501
NA,NA,NA,NA,"utr4","yel038w","ORF","80462-81145","+","V","yel038w",5.74266684797499,28.644113503037
NA,NA,NA,NA,"akr2","yor034c","ORF","394837-397086","-","XV","yor034c",5.7566184351725,-0.00226305201022514
NA,NA,NA,NA,"oca5","yhl029c","ORF","45929-47968","-","VIII","yhl029c",5.7722439662167,-26.6483257957688
NA,NA,NA,NA,"ace2","ylr131c","ORF","404510-406822","-","XII","ylr131c",5.78044208240491,5.95956908495563
NA,NA,NA,NA,"fol3","ymr113w","ORF","494999-496282","+","XIII","ymr113w",5.81649756719562,-4.36022691024693
"her2",0,0,1,"her2","ymr293c","ORF","855399-856793","-","XIII","ymr293c",5.82287936595486,1.40814702240234
NA,NA,NA,NA,"bck2","yer167w","ORF","518216-520771","+","V","yer167w",5.82806454127438,4.45102713655942
NA,NA,NA,NA,"yir021w-a","yir021w-a","ORF","398514-398726","+","IX","yir021w-a",5.83729344544923,0.829582767892152
NA,NA,NA,NA,"vps72","ydr485c","ORF","1424820-1427207","-","IV","ydr485c",5.865862896022,-4.9352044736011
NA,NA,NA,NA,"ylr125w","ylr125w","ORF","393484-393894","+","XII","ylr125w",5.86793575568103,3.33254009830855
NA,NA,NA,NA,"bul1","ymr275c","ORF","815651-818581","-","XIII","ymr275c",5.8730822841351,0.565576439935928
NA,NA,NA,NA,"dnf2","ydr093w","ORF","631282-636120","+","IV","ydr093w",5.88858927617598,-7.22964225277849
NA,NA,NA,NA,"adh7","ycr105w","ORF","309070-310155","+","III","ycr105w",5.89141907030082,-0.895769454833204
NA,NA,NA,NA,"okp1","ygr179c","ORF","853675-854895","-","VII","ygr179c",5.92649595949407,5.18242905538596
"htd2",0,0,1,"htd2","yhr067w","ORF","230970-231812","+","VIII","yhr067w",5.93259507347309,-1.14367642413876
NA,NA,NA,NA,"ygl041c-b","ygl041c-b","ORF","418704-418886","-","VII","ygl041c-b",5.95071149660255,25.6826395377281
NA,NA,NA,NA,"yhl026c","yhl026c","ORF","53219-54166","-","VIII","yhl026c",5.9514182331438,-13.7533233631598
NA,NA,NA,NA,"mdl1","ylr188w","ORF","528300-530387","+","XII","ylr188w",5.96468063414632,5.51981782422563
"sov1",0,1,0,"sov1","ymr066w","ORF","401541-404237","+","XIII","ymr066w",6.012487175063,-2.2114963988854
NA,NA,NA,NA,"yor238w","yor238w","ORF","783677-784588","+","XV","yor238w",6.01541179047461,-8.47968052131051
NA,NA,NA,NA,"vba1","ymr088c","ORF","443414-445102","-","XIII","ymr088c",6.05215558757015,-5.79042461796301
NA,NA,NA,NA,"cus2","ynl286w","ORF","95223-96080","+","XIV","ynl286w",6.0770380597626,1.36610890639691
NA,NA,NA,NA,"mtc6","yhr151c","ORF","399268-400848","-","VIII","yhr151c",6.09050045734286,-8.4228735322749
"mks1",0,0.5,0.5,"mks1","ynl076w","ORF","483556-485310","+","XIV","ynl076w",6.10201307981584,-1.31843877764412
NA,NA,NA,NA,"alg14","ybr070c","ORF","379221-379934","-","II","ybr070c",6.11225778527219,19.3711504274418
NA,NA,NA,NA,"yfl066c","yfl066c","ORF","1437-2615","-","VI","yfl066c",6.12665148715598,-4.45703497443273
NA,NA,NA,NA,"ecm5","ymr176w","ORF","611740-615975","+","XIII","ymr176w",6.19421662174332,-0.987147857982704
"ymr018w",0,1,0,"ymr018w","ymr018w","ORF","310208-311752","+","XIII","ymr018w",6.20328538193294,-11.2619224085053
NA,NA,NA,NA,"yhr182w","yhr182w","ORF","468219-470576","+","VIII","yhr182w",6.20456266058565,-8.89569291793594
NA,NA,NA,NA,"rkm3","ybr030w","ORF","298292-299950","+","II","ybr030w",6.20574513988459,-33.2576139046048
NA,NA,NA,NA,"vps3","ydr495c","ORF","1438115-1441150","-","IV","ydr495c",6.21254720733555,-1.72469236136144
NA,NA,NA,NA,"mrpl10","ynl284c","ORF","103134-104102","-","XIV","ynl284c",6.22461404289286,-9.33327125517129
NA,NA,NA,NA,"mip6","yhr015w","ORF","134554-136533","+","VIII","yhr015w",6.2684511395295,-6.23163150555605
NA,NA,NA,NA,"ydl221w","ydl221w","ORF","62011-62562","+","IV","ydl221w",6.28544937966647,1.95310778747327
NA,NA,NA,NA,"yjr023c","yjr023c","ORF","469804-470205","-","X","yjr023c",6.29391721932644,-10.8332474661331
NA,NA,NA,NA,"mch2","ykl221w","ORF","6107-7528","+","XI","ykl221w",6.3207896008934,-6.00495330041486
"bir1",1,0,0,"bir1","yjr089w","ORF","587718-590582","+","X","yjr089w",6.34869952240776,-8.79323388497664
NA,NA,NA,NA,"ymr306c-a","ymr306c-a","ORF","886183-886572","-","XIII","ymr306c-a",6.36278554793401,-11.6994087473922
NA,NA,NA,NA,"mf(alpha)2","ygl089c","ORF","344791-345153","-","VII","ygl089c",6.44504677387847,-0.392376701736405
NA,NA,NA,NA,"mak11","ykl021c","ORF","397344-398750","-","XI","ykl021c",6.46261511133317,-57.1635505313241
NA,NA,NA,NA,"vps65","ylr322w","ORF","777628-777942","+","XII","ylr322w",6.46375235625946,-9.45781064482836
NA,NA,NA,NA,"yea4","yel004w","ORF","146951-147979","+","V","yel004w",6.46716023928639,-6.46652951154063
NA,NA,NA,NA,"nvj3","ydr179w-a","ORF","819433-820824","+","IV","ydr179w-a",6.50465637693759,-10.1823686878763
"hst1",0,0,1,"hst1","yol068c","ORF","200368-201879","-","XV","yol068c",6.50944732724254,22.7938370569609
"pca1",0,0,1,"pca1","ybr295w","ORF","792849-796499","+","II","ybr295w",6.57779630444458,-6.22160764845744
NA,NA,NA,NA,"ufo1","yml088w","ORF","92235-94241","+","XIII","yml088w",6.59019935328747,-15.9818146614023
NA,NA,NA,NA,"brf1","ygr246c","ORF","982482-984272","-","VII","ygr246c",6.60194618593457,2.89487591987894
NA,NA,NA,NA,"ste3","ykl178c","ORF","113215-114627","-","XI","ykl178c",6.61398706347414,-7.91874517607043
NA,NA,NA,NA,"atg26","ylr189c","ORF","530797-534393","-","XII","ylr189c",6.637299803358,21.4182978683741
NA,NA,NA,NA,"stb5","yhr178w","ORF","459299-461530","+","VIII","yhr178w",6.65942440884394,-3.27835122941691
NA,NA,NA,NA,"tad3","ylr316c","ORF","765266-766358","-","XII","ylr316c",6.66267935484671,-33.964725194926
NA,NA,NA,NA,"yil134c-a","yil134c-a","ORF","96522-96725","-","IX","yil134c-a",6.68620915582459,-3.22124744247989
NA,NA,NA,NA,"yor381w-a","yor381w-a","ORF","1058423-1058590","+","XV","yor381w-a",6.71214207075916,1.35138302349811
NA,NA,NA,NA,"ydr341c","ydr341c","ORF","1151803-1153626","-","IV","ydr341c",6.74752200797102,-108.496970020751
"ydr089w",0,0,1,"ydr089w","ydr089w","ORF","622112-624721","+","IV","ydr089w",6.76087711639138,-6.9967505794332
NA,NA,NA,NA,"plb2","ymr006c","ORF","277561-279681","-","XIII","ymr006c",6.77589836195205,-4.23511631624665
NA,NA,NA,NA,"itt1","yml068w","ORF","137550-138944","+","XIII","yml068w",6.81399912874236,1.52927215061182
NA,NA,NA,NA,"yer079c-a","yer079c-a","ORF","319902-320240","-","V","yer079c-a",6.81616486120238,7.62589767433736
NA,NA,NA,NA,"ykl177w","ykl177w","ORF","114356-114694","+","XI","ykl177w",6.81622750602404,-17.099227221585
NA,NA,NA,NA,"mps2","ygl075c","ORF","366925-368088","-","VII","ygl075c",6.82815046308821,-4.38956732103292
NA,NA,NA,NA,"rrn9","ymr270c","ORF","805326-806423","-","XIII","ymr270c",6.82871916872169,-16.9512629686796
NA,NA,NA,NA,"yll054c","yll054c","ORF","32673-35204","-","XII","yll054c",6.86472115711481,-10.6095830547025
NA,NA,NA,NA,"mtw1","yal034w-a","ORF","79718-80587","+","I","yal034w-a",6.86568196309354,-9.02668903890747
"slx8",0,0.5,0.5,"slx8","yer116c","ORF","395348-396172","-","V","yer116c",6.92542250285339,21.1116357599491
NA,NA,NA,NA,"efr3","ymr212c","ORF","690695-693043","-","XIII","ymr212c",6.92756321097351,-23.9767914948059
NA,NA,NA,NA,"ynr064c","ynr064c","ORF","749136-750008","-","XIV","ynr064c",6.92997285822582,-9.98016274894523
NA,NA,NA,NA,"ypr097w","ypr097w","ORF","725394-728615","+","XVI","ypr097w",6.93769182489725,-0.918329683640104
NA,NA,NA,NA,"yap7","yol028c","ORF","270633-271370","-","XV","yol028c",6.94433760563126,-16.6636040401133
NA,NA,NA,NA,"ipl1","ypl209c","ORF","156490-157593","-","XVI","ypl209c",6.96323598359575,-8.66487222659503
NA,NA,NA,NA,"sgt1","yor057w","ORF","432186-433373","+","XV","yor057w",6.96405924536741,14.8177389939724
"ubr2",0,1,0,"ubr2","ylr024c","ORF","187663-193281","-","XII","ylr024c",6.9671123737307,-6.62976446420233
"rad9",0,0,1,"rad9","ydr217c","ORF","899551-903480","-","IV","ydr217c",6.99552321257205,-11.9216696396793
NA,NA,NA,NA,"vps9","yml097c","ORF","78335-79690","-","XIII","yml097c",7.002417363311,-18.698637296044
NA,NA,NA,NA,"thi72","yor192c","ORF","698768-700567","-","XV","yor192c",7.01810565998743,-7.16242660404416
NA,NA,NA,NA,"rtr1","yer139c","ORF","450563-451243","-","V","yer139c",7.02048955176572,-2.61443142524599
NA,NA,NA,NA,"nba1","yol070c","ORF","197220-198725","-","XV","yol070c",7.0335546257297,15.6096852546973
"pet117",0,0,1,"pet117","yer058w","ORF","271768-272091","+","V","yer058w",7.03965811485164,-8.73404786573341
NA,NA,NA,NA,"rad7","yjr052w","ORF","532062-533759","+","X","yjr052w",7.05488873230664,-1.37547912717079
NA,NA,NA,NA,"yal037w","yal037w","ORF","74020-74823","+","I","yal037w",7.05497359996049,-12.94676195647
NA,NA,NA,NA,"ycl001w-b","ycl001w-b","ORF","113770-114024","+","III","ycl001w-b",7.13429055278505,3.80323468361631
NA,NA,NA,NA,"ynl296w","ynl296w","ORF","76273-76587","+","XIV","ynl296w",7.13718821332899,4.01168161855657
NA,NA,NA,NA,"ykl050c","ykl050c","ORF","342852-345620","-","XI","ykl050c",7.13982261666212,-6.00894938609406
NA,NA,NA,NA,"alg1","ybr110w","ORF","458872-460221","+","II","ybr110w",7.13984346301472,12.4436432056288
NA,NA,NA,NA,"lih1","yjr107w","ORF","627340-628326","+","X","yjr107w",7.14055476024238,13.7557994771658
NA,NA,NA,NA,"ecm10","yel030w","ORF","94644-96578","+","V","yel030w",7.18612634633536,-2.57466848742576
NA,NA,NA,NA,"sog2","yor353c","ORF","998453-1000828","-","XV","yor353c",7.19106525926928,1.31099502614172
NA,NA,NA,NA,"ylr444c","ylr444c","ORF","1023686-1023988","-","XII","ylr444c",7.19338162149893,13.079610490819
NA,NA,NA,NA,"trz1","ykr079c","ORF","586789-589305","-","XI","ykr079c",7.2043391640286,-24.0562165685979
NA,NA,NA,NA,"gim5","yml094w","ORF","82275-82849","+","XIII","yml094w",7.20736444476308,-27.2754455251077
NA,NA,NA,NA,"ybl053w","ybl053w","ORF","119335-119709","+","II","ybl053w",7.2388193758535,6.85371086331984
